"","Country","year","sex","age","suicides_no","population","suicides.100k.pop","country.year","gdp_for_year....","gdp_per_capita....","generation"
"1","Australia",1995,"male","25-34 years",440,1421100,30.96,"Australia1995",367216364716,21902,"Generation X"
"2","Australia",1995,"male","75+ years",88,328300,26.8,"Australia1995",367216364716,21902,"G.I. Generation"
"3","Australia",1995,"male","35-54 years",587,2507400,23.41,"Australia1995",367216364716,21902,"Boomers"
"4","Australia",1995,"male","15-24 years",318,1374600,23.13,"Australia1995",367216364716,21902,"Generation X"
"5","Australia",1995,"male","55-74 years",274,1366600,20.05,"Australia1995",367216364716,21902,"Silent"
"6","Australia",1995,"female","35-54 years",180,2472200,7.28,"Australia1995",367216364716,21902,"Boomers"
"7","Australia",1995,"female","25-34 years",91,1417500,6.42,"Australia1995",367216364716,21902,"Generation X"
"8","Australia",1995,"female","15-24 years",81,1321300,6.13,"Australia1995",367216364716,21902,"Generation X"
"9","Australia",1995,"female","55-74 years",79,1430300,5.52,"Australia1995",367216364716,21902,"Silent"
"10","Australia",1995,"female","75+ years",28,539200,5.19,"Australia1995",367216364716,21902,"G.I. Generation"
"11","Australia",1995,"male","5-14 years",4,1326300,0.3,"Australia1995",367216364716,21902,"Millenials"
"12","Australia",1995,"female","5-14 years",0,1261500,0,"Australia1995",367216364716,21902,"Millenials"
"13","Australia",1996,"male","75+ years",122,346100,35.25,"Australia1996",400302731411,23526,"G.I. Generation"
"14","Australia",1996,"male","25-34 years",471,1431200,32.91,"Australia1996",400302731411,23526,"Generation X"
"15","Australia",1996,"male","15-24 years",366,1364200,26.83,"Australia1996",400302731411,23526,"Generation X"
"16","Australia",1996,"male","35-54 years",669,2574500,25.99,"Australia1996",400302731411,23526,"Boomers"
"17","Australia",1996,"male","55-74 years",330,1387200,23.79,"Australia1996",400302731411,23526,"Silent"
"18","Australia",1996,"female","35-54 years",182,2545300,7.15,"Australia1996",400302731411,23526,"Boomers"
"19","Australia",1996,"female","25-34 years",98,1431400,6.85,"Australia1996",400302731411,23526,"Generation X"
"20","Australia",1996,"female","55-74 years",86,1445900,5.95,"Australia1996",400302731411,23526,"Silent"
"21","Australia",1996,"female","75+ years",28,563200,4.97,"Australia1996",400302731411,23526,"G.I. Generation"
"22","Australia",1996,"female","15-24 years",59,1311800,4.5,"Australia1996",400302731411,23526,"Generation X"
"23","Australia",1996,"male","5-14 years",8,1339500,0.6,"Australia1996",400302731411,23526,"Millenials"
"24","Australia",1996,"female","5-14 years",7,1274800,0.55,"Australia1996",400302731411,23526,"Millenials"
"25","Australia",1997,"male","25-34 years",529,1436732,36.82,"Australia1997",434568007513,25234,"Generation X"
"26","Australia",1997,"male","75+ years",123,362657,33.92,"Australia1997",434568007513,25234,"G.I. Generation"
"27","Australia",1997,"male","15-24 years",408,1343245,30.37,"Australia1997",434568007513,25234,"Generation X"
"28","Australia",1997,"male","35-54 years",717,2632245,27.24,"Australia1997",434568007513,25234,"Boomers"
"29","Australia",1997,"male","55-74 years",305,1415672,21.54,"Australia1997",434568007513,25234,"Silent"
"30","Australia",1997,"female","35-54 years",219,2614291,8.38,"Australia1997",434568007513,25234,"Boomers"
"31","Australia",1997,"female","25-34 years",109,1441724,7.56,"Australia1997",434568007513,25234,"Generation X"
"32","Australia",1997,"female","75+ years",40,585676,6.83,"Australia1997",434568007513,25234,"G.I. Generation"
"33","Australia",1997,"female","15-24 years",86,1293106,6.65,"Australia1997",434568007513,25234,"Generation X"
"34","Australia",1997,"female","55-74 years",96,1465721,6.55,"Australia1997",434568007513,25234,"Silent"
"35","Australia",1997,"female","5-14 years",7,1283025,0.55,"Australia1997",434568007513,25234,"Millenials"
"36","Australia",1997,"male","5-14 years",7,1347206,0.52,"Australia1997",434568007513,25234,"Millenials"
"37","Australia",1998,"male","25-34 years",579,1434140,40.37,"Australia1998",398899138574,22897,"Generation X"
"38","Australia",1998,"male","35-54 years",773,2687916,28.76,"Australia1998",398899138574,22897,"Boomers"
"39","Australia",1998,"male","15-24 years",353,1330598,26.53,"Australia1998",398899138574,22897,"Generation X"
"40","Australia",1998,"male","75+ years",96,379719,25.28,"Australia1998",398899138574,22897,"G.I. Generation"
"41","Australia",1998,"male","55-74 years",301,1444867,20.83,"Australia1998",398899138574,22897,"Silent"
"42","Australia",1998,"female","25-34 years",109,1443163,7.55,"Australia1998",398899138574,22897,"Generation X"
"43","Australia",1998,"female","35-54 years",202,2680955,7.53,"Australia1998",398899138574,22897,"Boomers"
"44","Australia",1998,"female","75+ years",40,607609,6.58,"Australia1998",398899138574,22897,"G.I. Generation"
"45","Australia",1998,"female","15-24 years",81,1280391,6.33,"Australia1998",398899138574,22897,"Generation X"
"46","Australia",1998,"female","55-74 years",90,1486036,6.06,"Australia1998",398899138574,22897,"Silent"
"47","Australia",1998,"male","5-14 years",6,1355317,0.44,"Australia1998",398899138574,22897,"Millenials"
"48","Australia",1998,"female","5-14 years",2,1291019,0.15,"Australia1998",398899138574,22897,"Millenials"
"49","Australia",1999,"male","25-34 years",511,1431712,35.69,"Australia1999",388395162301,22016,"Generation X"
"50","Australia",1999,"male","75+ years",119,397612,29.93,"Australia1999",388395162301,22016,"G.I. Generation"
"51","Australia",1999,"male","35-54 years",741,2733238,27.11,"Australia1999",388395162301,22016,"Boomers"
"52","Australia",1999,"male","15-24 years",303,1326531,22.84,"Australia1999",388395162301,22016,"Generation X"
"53","Australia",1999,"male","55-74 years",315,1482441,21.25,"Australia1999",388395162301,22016,"Silent"
"54","Australia",1999,"female","25-34 years",117,1443911,8.1,"Australia1999",388395162301,22016,"Generation X"
"55","Australia",1999,"female","35-54 years",201,2735588,7.35,"Australia1999",388395162301,22016,"Boomers"
"56","Australia",1999,"female","15-24 years",70,1277560,5.48,"Australia1999",388395162301,22016,"Generation X"
"57","Australia",1999,"female","55-74 years",74,1516348,4.88,"Australia1999",388395162301,22016,"Silent"
"58","Australia",1999,"female","75+ years",21,630042,3.33,"Australia1999",388395162301,22016,"G.I. Generation"
"59","Australia",1999,"male","5-14 years",10,1366184,0.73,"Australia1999",388395162301,22016,"Millenials"
"60","Australia",1999,"female","5-14 years",6,1300535,0.46,"Australia1999",388395162301,22016,"Millenials"
"61","Australia",2000,"male","25-34 years",466,1430700,32.57,"Australia2000",415034227218,23219,"Generation X"
"62","Australia",2000,"male","75+ years",115,416077,27.64,"Australia2000",415034227218,23219,"G.I. Generation"
"63","Australia",2000,"male","35-54 years",745,2769752,26.9,"Australia2000",415034227218,23219,"Boomers"
"64","Australia",2000,"male","15-24 years",271,1333011,20.33,"Australia2000",415034227218,23219,"Generation X"
"65","Australia",2000,"male","55-74 years",281,1522620,18.46,"Australia2000",415034227218,23219,"Silent"
"66","Australia",2000,"female","25-34 years",106,1445332,7.33,"Australia2000",415034227218,23219,"Generation X"
"67","Australia",2000,"female","35-54 years",200,2782583,7.19,"Australia2000",415034227218,23219,"Boomers"
"68","Australia",2000,"female","15-24 years",78,1285283,6.07,"Australia2000",415034227218,23219,"Generation X"
"69","Australia",2000,"female","55-74 years",87,1549060,5.62,"Australia2000",415034227218,23219,"Silent"
"70","Australia",2000,"female","75+ years",33,652895,5.05,"Australia2000",415034227218,23219,"G.I. Generation"
"71","Australia",2000,"male","5-14 years",8,1377301,0.58,"Australia2000",415034227218,23219,"Millenials"
"72","Australia",2000,"female","5-14 years",1,1309796,0.08,"Australia2000",415034227218,23219,"Millenials"
"73","Australia",2001,"male","25-34 years",489,1427829,34.25,"Australia2001",378215090694,20860,"Generation X"
"74","Australia",2001,"male","35-54 years",752,2803465,26.82,"Australia2001",378215090694,20860,"Boomers"
"75","Australia",2001,"male","75+ years",115,437528,26.28,"Australia2001",378215090694,20860,"Silent"
"76","Australia",2001,"male","15-24 years",280,1351444,20.72,"Australia2001",378215090694,20860,"Millenials"
"77","Australia",2001,"male","55-74 years",296,1566014,18.9,"Australia2001",378215090694,20860,"Silent"
"78","Australia",2001,"female","35-54 years",226,2827367,7.99,"Australia2001",378215090694,20860,"Boomers"
"79","Australia",2001,"female","25-34 years",109,1445867,7.54,"Australia2001",378215090694,20860,"Generation X"
"80","Australia",2001,"female","75+ years",39,677113,5.76,"Australia2001",378215090694,20860,"Silent"
"81","Australia",2001,"female","55-74 years",81,1585702,5.11,"Australia2001",378215090694,20860,"Silent"
"82","Australia",2001,"female","15-24 years",63,1303713,4.83,"Australia2001",378215090694,20860,"Millenials"
"83","Australia",2001,"female","5-14 years",4,1317968,0.3,"Australia2001",378215090694,20860,"Millenials"
"84","Australia",2001,"male","5-14 years",4,1386873,0.29,"Australia2001",378215090694,20860,"Millenials"
"85","Australia",2002,"male","25-34 years",452,1433165,31.54,"Australia2002",394486709920,21474,"Generation X"
"86","Australia",2002,"male","35-54 years",744,2820596,26.38,"Australia2002",394486709920,21474,"Boomers"
"87","Australia",2002,"male","75+ years",101,456942,22.1,"Australia2002",394486709920,21474,"Silent"
"88","Australia",2002,"male","15-24 years",246,1372770,17.92,"Australia2002",394486709920,21474,"Millenials"
"89","Australia",2002,"male","55-74 years",266,1626692,16.35,"Australia2002",394486709920,21474,"Silent"
"90","Australia",2002,"female","35-54 years",213,2845525,7.49,"Australia2002",394486709920,21474,"Boomers"
"91","Australia",2002,"female","25-34 years",103,1444148,7.13,"Australia2002",394486709920,21474,"Generation X"
"92","Australia",2002,"female","55-74 years",92,1643643,5.6,"Australia2002",394486709920,21474,"Silent"
"93","Australia",2002,"female","75+ years",36,696793,5.17,"Australia2002",394486709920,21474,"Silent"
"94","Australia",2002,"female","15-24 years",58,1316527,4.41,"Australia2002",394486709920,21474,"Millenials"
"95","Australia",2002,"female","5-14 years",4,1321845,0.3,"Australia2002",394486709920,21474,"Millenials"
"96","Australia",2002,"male","5-14 years",4,1391412,0.29,"Australia2002",394486709920,21474,"Millenials"
"97","Australia",2003,"male","25-34 years",394,1437607,27.41,"Australia2003",466294700058,25059,"Generation X"
"98","Australia",2003,"male","35-54 years",654,2840522,23.02,"Australia2003",466294700058,25059,"Boomers"
"99","Australia",2003,"male","75+ years",103,476387,21.62,"Australia2003",466294700058,25059,"Silent"
